snapshot,redshift,subhalo_index,subhalo_mass_Msun,n_bh
27,0.5030475232448832,7263,732090884800.0952,83
27,0.5030475232448832,6292,985448812209.5264,76
27,0.5030475232448832,8081,456291089433.2793,67
27,0.5030475232448832,6073,828447343327.4142,66
27,0.5030475232448832,6656,917697625363.741,64
27,0.5030475232448832,9470,347817544482.1983,60
27,0.5030475232448832,7390,644782318038.6136,51
27,0.5030475232448832,8341,459649499102.474,51
27,0.5030475232448832,8674,337978234021.35486,51
28,0.3999269646135635,0,10512800418085.861,794
28,0.3999269646135635,1,1927645909629.532,448
28,0.3999269646135635,2372,4228049771082.5576,434
28,0.3999269646135635,4796,3010476376735.342,432
28,0.3999269646135635,3688,3365307110589.393,428
28,0.3999269646135635,5272,3032041951659.6514,379
28,0.3999269646135635,2971,3723393999267.9023,357
28,0.3999269646135635,4150,3291846554065.5923,333
28,0.3999269646135635,6949,1074563993905.5345,124
28,0.3999269646135635,5774,1543142115624.3652,121
28,0.3999269646135635,7574,814566487594.1515,105
28,0.3999269646135635,6575,879146816494.2285,87
28,0.3999269646135635,6757,1076013139424.1641,82
28,0.3999269646135635,7321,734337167397.6102,82
28,0.3999269646135635,6372,990353101043.8589,72
28,0.3999269646135635,2,302166671876.87494,71
28,0.3999269646135635,8538,466054596095.99994,66
28,0.3999269646135635,2373,272066197742.5123,60
28,0.3999269646135635,6062,989574837448.7128,60
28,0.3999269646135635,9412,355628828691.8129,60
28,0.3999269646135635,8672,461865105246.56793,54
28,0.3999269646135635,8454,460622751137.08734,53
28,0.3999269646135635,7427,703717503444.146,52
28,0.3999269646135635,9439,331154061180.6815,51
29,0.2977176845174465,0,12171252082641.043,874
29,0.2977176845174465,2478,4650214559622.378,452
29,0.2977176845174465,5515,2965406046855.962,433
29,0.2977176845174465,4512,3534090140425.389,427
29,0.2977176845174465,1,1241204911506.5051,394
29,0.2977176845174465,3182,4087110031233.846,375
29,0.2977176845174465,4972,3151991673329.964,375
29,0.2977176845174465,3921,3471932716127.372,345
29,0.2977176845174465,7143,1092499437333.5618,128
29,0.2977176845174465,5963,1567884295047.641,124
29,0.2977176845174465,7759,830274240214.6158,106
29,0.2977176845174465,6754,1293652914348.9353,104
29,0.2977176845174465,2,397311762611.3001,99
29,0.2977176845174465,6947,1129319744929.8362,88
29,0.2977176845174465,6530,1037482161797.2672,86
29,0.2977176845174465,7674,757003488964.5985,84
29,0.2977176845174465,8544,504652109795.4223,65
29,0.2977176845174465,6230,1066617074137.4058,64
29,0.2977176845174465,2479,282755772730.49817,61
29,0.2977176845174465,9750,366333389789.2754,60
29,0.2977176845174465,8772,475277926752.4761,57
29,0.2977176845174465,8623,483634260270.8529,56
29,0.2977176845174465,7542,813161849693.8921,55
29,0.2977176845174465,9780,352530450557.5391,52
29,0.2977176845174465,7311,853338426086.579,51
30,0.19728418237600986,0,14030946690158.395,1152
30,0.19728418237600986,2450,4939468106602.376,507
30,0.19728418237600986,5780,2984436603050.925,437
30,0.19728418237600986,4737,3701665041947.044,435
30,0.19728418237600986,3247,4236499683277.027,385
30,0.19728418237600986,5211,3251446256467.1484,375
30,0.19728418237600986,4037,3943302423276.888,350
30,0.19728418237600986,1,591408387717.8119,231
30,0.19728418237600986,6186,1628338373353.502,130
30,0.19728418237600986,6920,1276209420950.792,128
30,0.19728418237600986,7174,1343478348032.9714,107
30,0.19728418237600986,8313,863373541898.8724,103
30,0.19728418237600986,6711,1198305877338.5,92
30,0.19728418237600986,6402,1520876926010.2827,89
30,0.19728418237600986,7413,1158080905953.1804,88
30,0.19728418237600986,8229,794719639142.7769,81
30,0.19728418237600986,8844,542697503672.02496,64
30,0.19728418237600986,10143,376437605087.55743,60
30,0.19728418237600986,8054,900996338755.9883,58
30,0.19728418237600986,9077,500829694120.0293,58
30,0.19728418237600986,9156,504700786481.84235,55
30,0.19728418237600986,6921,285810150295.2187,51
30,0.19728418237600986,7607,901769644540.4805,51
31,0.09940180263022191,0,15415052042949.71,1365
31,0.09940180263022191,2578,4996505464625.102,505
31,0.09940180263022191,4889,3867203184710.0684,441
31,0.09940180263022191,5960,3077578991805.586,440
31,0.09940180263022191,4097,4245901044406.9834,389
31,0.09940180263022191,5378,3410135859876.9106,378
31,0.09940180263022191,3374,4080179913359.8247,358
31,0.09940180263022191,6327,1745469579667.0774,140
31,0.09940180263022191,6916,1505203032983.0342,133
31,0.09940180263022191,7402,1314466479539.0613,111
31,0.09940180263022191,8983,893466663825.3904,103
31,0.09940180263022191,7182,1399965051040.5706,99
31,0.09940180263022191,6577,1658493242558.1638,91
31,0.09940180263022191,7632,1166633805396.2324,87
31,0.09940180263022191,8900,832517931229.289,82
31,0.09940180263022191,9290,619665823910.9691,63
31,0.09940180263022191,3375,381793533570.8323,60
31,0.09940180263022191,8266,1013832841590.63,58
31,0.09940180263022191,9620,547022799096.24335,57
31,0.09940180263022191,7822,986941338571.3774,54
31,0.09940180263022191,9941,521944389968.6219,54
32,2.220446049250313e-16,0,15094357412932.912,1376
32,2.220446049250313e-16,2576,5126021958017.187,507
32,2.220446049250313e-16,4741,3977628501404.196,448
32,2.220446049250313e-16,5862,3157152528865.6353,443
32,2.220446049250313e-16,4034,4329234630137.95,400
32,2.220446049250313e-16,5207,3688192867560.183,382
