snapshot,redshift,subhalo,is_central,group,subhalo_nbh,subhalo_mass_Msun
31,0.09940180263022191,9005,True,19,103,893175223433.202
31,0.09940180263022191,9312,True,21,63,619725881026.3901
31,0.09940180263022191,9643,True,24,57,547063137646.56366
31,0.09940180263022191,9963,True,28,55,521716668711.08746
32,2.220446049250313e-16,0,True,0,1374,15092902520861.023
32,2.220446049250313e-16,2588,True,1,509,5126574528550.066
32,2.220446049250313e-16,3343,True,2,368,4323805827471.939
32,2.220446049250313e-16,3344,False,2,56,329112513627.6693
32,2.220446049250313e-16,4054,True,3,402,4328801047060.7646
32,2.220446049250313e-16,4763,True,4,449,3977486077025.4116
32,2.220446049250313e-16,5227,True,5,382,3687040852648.242
32,2.220446049250313e-16,5884,True,6,445,3157852706942.983
32,2.220446049250313e-16,6246,True,7,56,1187525343426.6426
32,2.220446049250313e-16,6247,False,7,60,793939854401.18
32,2.220446049250313e-16,6683,True,8,147,1912517375774.2117
32,2.220446049250313e-16,6956,True,9,100,1726326796667.3127
32,2.220446049250313e-16,7342,True,10,108,1514193233861.2625
32,2.220446049250313e-16,7562,True,11,173,1829939180102.8743
32,2.220446049250313e-16,7824,True,12,115,1330392770199.5989
32,2.220446049250313e-16,8085,True,13,89,1218409348829.971
32,2.220446049250313e-16,8926,True,17,86,861951551661.3245
32,2.220446049250313e-16,9031,True,18,104,925683418874.497
32,2.220446049250313e-16,9346,True,20,62,668121324369.3232
32,2.220446049250313e-16,9677,True,23,57,612139980015.8765
32,2.220446049250313e-16,9863,True,25,55,544142818155.14923
